,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,
#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#;.;.;.;.;.;#
#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#;#;.;.;.;.;#
#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#;#;.;.;.;.;#
#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;^;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;|;.;#;#;#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;%;.;#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;#;#;#;#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;.;#;#;#;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;#
#;.;.;^;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;^;.;.;.;#
#;^;^;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;^;|;.;.;.;#
#;#;%;%;.;.;.;.;.;.;.;.;.;.;.;^;^;.;.;%;%;^;.;#;#
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
